Policy;date
ClimateInvest_2003_Jul;2003-07-01
EnergyEfficency_2004_Dec;2004-12-01
HeatingSubsidy_2006_Jan;2006-01-15
EnvCar_2007_Apr;2007-04-01
SustainableCity_2009_Jan;2009-01-15
TaxEnvCar;2010-10-01
FuelTax_2011_Jan;2011-01-01
SuperEnvCar_2012_Jan;2012-01-16
BiogasSupport_2015_Jan;2015-01-01
ClimateStep_2015_Jun;2015-06-25
LocalClimateInvest_2015_Jul;2015-07-15
UrbanEnv_2015_Oct;2015-10-01
ElectricBus;2016-07-26
IndustryStep_Jan_2018;2018-01-03
Emobility_Feb_2018;2018-02-01
FlyTax_2018_Apr;2018-04-01
BonusMalus_2018_Jul;2018-07-01
Co2CHPplants_2019_Jan;2019-01-08
EcoBonus_2019_Dec;2019-12-05
EnvCarTax_2020_Jan;2020-01-01
