PollingInstitute;Published;StartCollection;EndCollection;PollYear;PollMonth;PollWeek;Date_numeric;PolicyIndicator;IncumbentParty;Government;GovernmentSupport;SocialdemokraternaS;VänsterpartietV;MiljöpartietMP;ModeraternaM;LiberalernaL;CenterpartietC;KristdemokraternaKD;SverigedemokraternaSD;Övriga partierÖvriga;Unemployment;UnemploymentTrend;HouseholdConsumption;HouseholdConsumptionDetrended;ConsumerPriceIndexFixedInterest;ConsumerPriceIndex;ConsumerConfidence;GovtSearch
YouGov;2002-01-21T00:00:00Z;2002-01-10;2002-01-15;2002;Jan 2002;2002-04;11708;0;S;S;38,1;38,1;15,0;3,2;23,2;4,6;3,9;8,8;NA;3,2;6,2;5,9;1,5;1,2;2,9;2,7;100,09360;NA
Ipsos;2002-01-25T00:00:00Z;2002-01-14;2002-01-23;2002;Jan 2002;2002-04;11712;0;S;S;39,7;39,7;12,1;2,9;25,0;3,7;5,2;9,0;NA;2,4;6,2;5,9;1,5;1,2;2,9;2,7;100,09360;NA
Novus;2002-01-26T00:00:00Z;2002-01-07;2002-01-22;2002;Jan 2002;2002-04;11713;0;S;S;41,0;41,0;12,4;4,6;21,2;5,2;5,2;9,4;NA;1,0;6,2;5,9;1,5;1,2;2,9;2,7;100,09360;NA
Demoskop;2002-02-07T00:00:00Z;2002-01-29;2002-02-04;2002;Feb 2002;2002-06;11725;0;S;S;43,8;43,8;11,5;2,6;22,9;4,6;4,6;9,6;NA;0,4;6,1;5,9;1,1;1,1;2,8;2,6;101,12380;NA
Novus;2002-02-16T00:00:00Z;2002-01-29;2002-02-12;2002;Feb 2002;2002-07;11734;0;S;S;45,5;45,5;11,3;3,8;19,9;4,3;4,9;9,0;NA;1,3;6,1;5,9;1,1;1,1;2,8;2,6;101,12380;NA
Sifo;2002-02-17T00:00:00Z;2002-01-28;2002-02-14;2002;Feb 2002;2002-07;11735;0;S;S;43,8;43,8;9,9;3,1;22,3;4,5;6,4;8,9;NA;1,1;6,1;5,9;1,1;1,1;2,8;2,6;101,12380;NA
Skop;2002-02-20T00:00:00Z;2002-01-21;2002-02-16;2002;Feb 2002;2002-08;11738;0;S;S;40,0;40,0;10,6;4,0;24,2;4,7;4,3;10,7;NA;1,5;6,1;5,9;1,1;1,1;2,8;2,6;101,12380;NA
YouGov;2002-02-21T00:00:00Z;2002-02-06;2002-02-12;2002;Feb 2002;2002-08;11739;0;S;S;38,0;38,0;10,9;4,1;22,8;5,3;4,7;10,9;NA;3,3;6,1;5,9;1,1;1,1;2,8;2,6;101,12380;NA
Ipsos;2002-02-22T00:00:00Z;2002-02-11;2002-02-20;2002;Feb 2002;2002-08;11740;0;S;S;41,3;41,3;9,5;3,9;22,4;5,6;5,8;10,4;NA;1,1;6,1;5,9;1,1;1,1;2,8;2,6;101,12380;NA
YouGov;2002-03-01T00:00:00Z;2002-03-06;2002-03-11;2002;Mar 2002;2002-09;11747;0;S;S;38,8;38,8;12,0;4,1;22,5;5,3;5,0;10,9;NA;1,4;6,2;5,8;0,9;1,1;2,9;2,7;101,70730;NA
Demoskop;2002-03-08T00:00:00Z;2002-02-26;2002-03-05;2002;Mar 2002;2002-10;11754;0;S;S;43,1;43,1;11,6;4,5;21,4;3,9;6,0;7,3;NA;2,2;6,2;5,8;0,9;1,1;2,9;2,7;101,70730;NA
Skop;2002-03-10T00:00:00Z;2002-02-17;2002-03-08;2002;Mar 2002;2002-10;11756;0;S;S;40,7;40,7;10,5;3,7;24,6;4,0;6,1;9,9;NA;0,5;6,2;5,8;0,9;1,1;2,9;2,7;101,70730;NA
Sifo;2002-03-18T00:00:00Z;2002-03-01;2002-03-13;2002;Mar 2002;2002-12;11764;0;S;S;46,7;46,7;9,4;2,4;24,0;4,9;5,1;6,3;NA;1,2;6,2;5,8;0,9;1,1;2,9;2,7;101,70730;NA
Ipsos;2002-03-22T00:00:00Z;2002-03-11;2002-03-20;2002;Mar 2002;2002-12;11768;0;S;S;42,4;42,4;11,0;4,1;20,6;4,5;5,0;10,5;NA;1,9;6,2;5,8;0,9;1,1;2,9;2,7;101,70730;NA
Novus;2002-03-30T00:00:00Z;2002-03-06;2002-03-25;2002;Mar 2002;2002-13;11776;0;S;S;44,7;44,7;10,3;2,6;22,8;3,5;6,2;8,3;NA;1,6;6,2;5,8;0,9;1,1;2,9;2,7;101,70730;NA
