
﻿"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"OECD","CCI","AMPLITUD","LTRENDIDX","M","1999-12",102.2557,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2000-01",102.3993,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2000-02",102.438,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2000-03",102.4078,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2000-04",102.4007,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2000-05",102.3854,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2000-06",102.3295,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2000-07",102.2995,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2000-08",102.2212,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2000-09",102.0768,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2000-10",101.9641,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2000-11",101.8187,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2000-12",101.5848,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2001-01",101.3559,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2001-02",101.1833,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2001-03",101.0936,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2001-04",101.034,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2001-05",100.9882,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2001-06",100.9317,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2001-07",100.8061,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2001-08",100.5761,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2001-09",100.2869,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2001-10",100.1409,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2001-11",100.2004,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2001-12",100.4011,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2002-01",100.5954,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2002-02",100.76,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2002-03",100.9093,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2002-04",100.9658,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2002-05",100.9586,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2002-06",100.8273,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2002-07",100.6466,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2002-08",100.4831,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2002-09",100.3274,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2002-10",100.1406,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2002-11",100.0077,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2002-12",99.84547,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2003-01",99.61896,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2003-02",99.43702,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2003-03",99.43642,
