"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1999-07",97.80257,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1999-08",98.10969,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1999-09",98.42902,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1999-10",98.73824,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1999-11",99.03001,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1999-12",99.29001,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2000-01",99.49247,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2000-02",99.62748,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2000-03",99.65808,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2000-04",99.54491,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2000-05",99.37518,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2000-06",99.25243,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2000-07",99.24274,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2000-08",99.27415,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2000-09",99.24199,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2000-10",99.07333,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2000-11",98.85484,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2000-12",98.71419,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2001-01",98.75124,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2001-02",98.89146,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2001-03",99.04026,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2001-04",99.13448,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2001-05",99.18494,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2001-06",99.2143,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2001-07",99.23841,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2001-08",99.2689,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2001-09",99.32098,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2001-10",99.41493,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2001-11",99.55587,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2001-12",99.76753,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2002-01",100.079,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2002-02",100.4407,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2002-03",100.796,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2002-04",101.1027,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2002-05",101.3605,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2002-06",101.56,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2002-07",101.6801,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2002-08",101.7437,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2002-09",101.7617,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2002-10",101.733,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2002-11",101.6905,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2002-12",101.6662,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2003-01",101.6693,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2003-02",101.6471,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2003-03",101.5135,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2003-04",101.2034,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2003-05",100.8379,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2003-06",100.5879,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2003-07",100.5923,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2003-08",100.7616,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2003-09",100.9964,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2003-10",101.242,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2003-11",101.4768,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2003-12",101.6902,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2004-01",101.8714,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2004-02",102.0191,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2004-03",102.1202,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2004-04",102.1616,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2004-05",102.1886,
