Category: All categories

Month,regeringen: (Sweden)
2004-01,26
2004-02,26
2004-03,32
2004-04,16
2004-05,18
2004-06,20
2004-07,6
2004-08,13
2004-09,30
2004-10,38
2004-11,39
2004-12,36
2005-01,30
2005-02,49
2005-03,23
2005-04,37
2005-05,37
2005-06,9
2005-07,30
2005-08,17
2005-09,24
2005-10,38
2005-11,40
2005-12,29
2006-01,15
2006-02,30
2006-03,29
2006-04,18
2006-05,34
2006-06,24
2006-07,10
2006-08,19
2006-09,38
2006-10,83
2006-11,32
2006-12,28
2007-01,28
2007-02,22
2007-03,24
2007-04,29
2007-05,30
2007-06,14
2007-07,14
2007-08,14
2007-09,32
2007-10,29
2007-11,14
2007-12,21
2008-01,23
2008-02,21
2008-03,27
2008-04,19
2008-05,24
2008-06,12
2008-07,10
2008-08,13
2008-09,24
2008-10,25
2008-11,35
2008-12,27
2009-01,28
2009-02,29
2009-03,31
2009-04,18
2009-05,25
2009-06,19
2009-07,8
2009-08,11
2009-09,23
2009-10,22
2009-11,19
2009-12,18
2010-01,17
2010-02,15
2010-03,23
2010-04,19
2010-05,15
2010-06,14
2010-07,5
2010-08,8
2010-09,17
2010-10,29
2010-11,18
2010-12,16
2011-01,12
2011-02,14
2011-03,20
2011-04,17
2011-05,16
2011-06,7
2011-07,13
2011-08,11
2011-09,25
2011-10,20
2011-11,19
2011-12,18
2012-01,15
2012-02,19
2012-03,17
2012-04,15
2012-05,19
2012-06,11
2012-07,7
2012-08,11
2012-09,25
2012-10,28
2012-11,16
2012-12,15
2013-01,16
2013-02,16
2013-03,19
2013-04,16
2013-05,22
2013-06,12
2013-07,6
2013-08,10
2013-09,25
2013-10,20
2013-11,19
2013-12,15
2014-01,17
2014-02,15
2014-03,19
2014-04,21
2014-05,18
2014-06,14
2014-07,7
2014-08,13
2014-09,36
2014-10,54
2014-11,26
2014-12,22
2015-01,17
2015-02,12
2015-03,16
2015-04,17
2015-05,13
2015-06,14
2015-07,7
2015-08,14
2015-09,22
2015-10,20
2015-11,25
2015-12,18
2016-01,22
2016-02,20
2016-03,17
2016-04,21
2016-05,25
2016-06,20
2016-07,12
2016-08,14
2016-09,22
2016-10,21
2016-11,19
2016-12,15
2017-01,17
2017-02,18
2017-03,17
2017-04,15
2017-05,14
2017-06,10
2017-07,16
2017-08,11
2017-09,17
2017-10,15
2017-11,22
2017-12,16
2018-01,17
2018-02,16
2018-03,21
2018-04,18
2018-05,17
2018-06,10
2018-07,7
2018-08,18
2018-09,37
2018-10,23
2018-11,15
2018-12,12
2019-01,35
2019-02,12
2019-03,12
2019-04,12
2019-05,14
2019-06,11
2019-07,7
2019-08,10
2019-09,17
2019-10,22
2019-11,16
2019-12,13
2020-01,17
2020-02,13
2020-03,100
2020-04,46
2020-05,25
2020-06,22
2020-07,9
2020-08,15
2020-09,23
2020-10,20
2020-11,29
2020-12,26
2021-01,28
2021-02,27
2021-03,22
2021-04,16
